C:\Users\Lauren\Documents\GitHub\AtlasSoft\logs\flow.log
Water
7
21.0
1.5079
300
500.0 200.0
Rectangular 0.0 0.0 500.0 50.0 0.0
Rectangular 0.0 150.0 500.0 50.0 0.0
Rectangular 350.0 15.0 50.0 75.0 0.0
Rectangular 350.0 110.0 50.0 75.0 0.0
Rect_Drain 490.0 50.0 10.0 100.0 0.0
Sources 25.0 100.0 -45.0 2.0 50.0
Breakpoints 115.0 0.0 5.0 200.0
Flowmeters 170.0 100.0 5.0 100.0
break
0.0001 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9805 P 0.143 102.2724 6.6165 P 0.3151 99.2858 7.5164 P 3.7522 101.1879 5.6645 P 5.254 100.8776 2.8206 P 18.2067 100.3019 21.8048 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9662 P 0.005 102.5744 3.6206 P 0.005 98.2301 5.9257 P 2.3497 101.7262 3.1324 P 4.6805 100.7554 1.8469 P 11.513 100.5994 21.8048 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.013 P 0.005 102.6185 4.56 P 0.1108 96.5702 6.6519 P 2.2366 102.4374 7.2534 P 4.7544 100.4792 5.5067 P 4.7197 100.9014 6.6889 P 18.2067 100.3019 21.1377 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0013 P 0.005 102.6218 1.2136 P 0.4863 94.7215 6.8597 P 1.3713 104.3367 8.4877 P 5.5146 99.1812 5.7296 P 2.8389 100.6408 3.4089 P 11.492 100.6004 19.1538 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9545 P 0.0074 102.5538 2.1529 P 1.1093 92.9643 7.0832 P 1.3348 106.7188 8.811 P 5.7791 97.6999 6.1635 P 2.4309 99.992 8.3172 P 5.7325 101.0324 9.0043 P 18.2067 100.3019 22.373 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9521 P 0.005 102.5664 2.5313 P 1.9558 91.2293 7.2934 P 1.6032 109.183 8.8135 P 6.1343 96.1002 6.1951 P 0.7168 98.4253 6.7621 P 3.3917 102.0189 4.0077 P 11.4306 100.6031 22.373 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0206 P 0.005 102.572 3.8989 P 3.0251 89.3745 7.4343 P 2.1005 111.7942 8.8355 P 6.561 94.3852 6.1414 P 0.5752 96.4702 7.1786 P 3.1292 103.0079 5.6401 P 4.6373 100.905 9.487 P 18.2067 100.3019 20.9888 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.012 P 0.005 102.5745 1.8569 P 4.1614 87.5253 7.5137 P 2.7495 114.3563 8.8605 P 7.0069 92.7092 6.0858 P 0.6376 94.387 7.2509 P 2.9287 104.5602 6.3524 P 1.8262 100.3633 4.2105 P 11.4708 100.6013 20.9888 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.982 P 0.2432 102.7226 3.3379 P 5.2932 85.7183 7.5356 P 3.4908 116.8203 8.8772 P 7.454 91.1056 6.0696 P 0.9707 92.3681 7.3308 P 3.1364 106.2999 6.6502 P 1.2621 99.4766 7.9394 P 4.934 100.8918 7.8793 P 18.2067 100.3019 21.7733 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9928 P 0.005 103.3865 3.9696 P 6.4447 83.8875 7.5282 P 4.316 119.2929 8.8783 P 7.9174 89.4932 6.0976 P 1.5501 90.3548 7.4237 P 3.505 108.1329 6.7604 P 0.005 97.9681 6.0324 P 2.7133 101.3926 2.7806 P 11.4134 100.6039 21.5488 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0422 P 0.005 103.7731 5.6524 P 7.6519 81.9676 7.5249 P 5.2252 121.8745 8.8684 P 8.426 87.7968 6.1513 P 2.3434 88.2689 7.4569 P 3.9953 110.0732 6.7676 P 0.0017 96.2198 6.2969 P 2.1917 101.7251 5.353 P 4.6201 100.9058 6.7124 P 18.2067 100.3019 20.5735 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0356 P 0.005 103.785 3.236 P 8.8502 80.0603 7.5224 P 6.1436 124.4308 8.8601 P 8.9789 86.1067 6.2204 P 3.223 86.2208 7.4342 P 4.5369 111.9892 6.7693 P 0.3226 94.4197 6.4763 P 0.6987 101.8953 1.4324 P 2.7287 100.3477 4.0195 P 11.4564 100.6019 20.5735 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9923 P 0.348 104.4403 5.6549 P 9.9973 78.233 7.5207 P 7.0254 126.8767 8.8601 P 9.5718 84.4848 6.2828 P 4.0871 84.2758 7.3923 P 5.0893 113.8158 6.7666 P 0.9183 92.709 6.7041 P 0.6062 101.7862 5.0187 P 2.2826 99.454 7.4308 P 4.9882 100.8894 6.3671 P 18.2067 100.3019 21.5573 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9744 P 0.9266 105.8371 6.9671 P 11.123 76.439 7.5199 P 7.8912 129.2783 8.8601 P 10.2133 82.8934 6.324 P 4.925 82.3762 7.355 P 5.6508 115.6026 6.7609 P 1.7453 91.0511 7.0039 P 0.005 101.8539 1.9289 P 1.4495 97.5387 7.7145 P 3.2737 101.2042 2.0503 P 11.5364 100.5984 21.5573 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9521 P 1.8716 107.4783 7.3806 P 12.2227 74.6862 7.5199 P 8.7373 131.625 8.8601 P 10.8809 81.3411 6.3444 P 5.7253 80.5248 7.3306 P 6.2076 117.3442 6.7558 P 2.7283 89.4188 7.2393 P 0.005 101.8566 4.2005 P 1.3494 95.41 7.6661 P 3.0461 101.4478 7.9985 P 5.0183 100.8881 5.0766 P 18.2067 100.3019 22.4255 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.946 P 2.9811 109.1567 7.5202 P 13.3153 72.9446 7.5199 P 9.5779 133.9566 8.8601 P 11.5653 79.8011 6.3525 P 6.5057 78.6875 7.3196 P 6.7626 119.0722 6.7554 P 3.822 87.7833 7.3455 P 0.005 101.858 1.5935 P 1.4609 93.311 7.6231 P 1.0191 102.3201 5.0155 P 3.8998 100.2546 3.8652 P 11.4574 100.6019 22.4255 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9762 P 4.2269 110.8739 7.572 P 14.4427 71.1476 7.5199 P 10.4453 136.3626 8.8601 P 12.2791 78.2125 6.3559 P 7.3036 76.7923 7.3161 P 7.3353 120.8552 6.7554 P 5.0128 86.0966 7.3614 P 0.005 101.8314 4.6275 P 1.7886 91.1809 7.6584 P 0.8701 103.6182 8.2223 P 3.5589 99.3869 6.0393 P 4.6641 100.9038 8.0445 P 18.2067 100.3019 21.8983 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9548 P 5.4862 112.544 7.577 P 15.5454 69.3899 7.5199 P 11.2936 138.7158 8.8601 P 12.9775 76.6577 6.3594 P 8.0836 74.9398 7.3126 P 7.8954 122.5991 6.7554 P 6.1943 84.4526 7.3574 P 0.005 101.8309 1.7943 P 2.2876 89.1215 7.7172 P 0.908 105.9164 9.2459 P 3.3762 97.7936 6.8442 P 2.4239 100.9937 1.5325 P 11.5623 100.5972 21.8983 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.968 P 6.7719 114.2322 7.5766 P 16.6634 67.6079 7.5199 P 12.1538 141.1016 8.8601 P 13.6859 75.0802 6.3627 P 8.8742 73.0626 7.3093 P 8.4633 124.3672 6.7554 P 7.3922 82.7875 7.3574 P 0.005 101.8348 4.6459 P 2.9414 87.0551 7.7691 P 1.3558 108.539 9.2868 P 3.4428 95.9091 7.1732 P 2.2928 100.8827 6.7716 P 4.826 100.8966 4.075 P 18.2067 100.3019 22.075 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9637 P 8.052 115.9129 7.5766 P 17.7765 65.8337 7.5199 P 13.0101 143.4769 8.8601 P 14.3915 73.5086 6.3659 P 9.6611 71.1948 7.306 P 9.0287 126.1275 6.7554 P 8.5842 81.1291 7.3575 P 0.005 101.8368 3.2945 P 3.6965 85.0158 7.8016 P 2.0133 111.1186 9.3439 P 3.5794 93.9307 7.15 P 0.4496 100.6821 3.6969 P 3.8414 100.9763 1.2504 P 11.4431 100.6025 22.075 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9982 P 9.378 117.6538 7.5766 P 18.9295 63.9959 7.5199 P 13.8972 145.9374 6.0439 P 15.1226 71.8796 6.369 P 10.4758 69.2611 7.303 P 9.6143 127.9508 6.7554 P 9.8182 79.4109 7.3578 P 0.1403 102.5882 6.5062 P 4.5471 82.9186 7.8099 P 2.8616 113.7623 9.3821 P 3.7989 91.8961 7.1336 P 0.373 99.788 7.4099 P 3.761 100.9983 5.6637 P 4.6498 100.9045 1.8779 P 18.2067 100.3019 21.4358 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9733 P 10.6707 119.3511 7.5766 P 20.0536 62.2042 7.5199 P 14.7567 147.3297 4.0327 P 15.8358 70.2905 6.3718 P 11.2699 67.3768 7.3001 P 10.1853 129.7285 6.7554 P 11.0209 77.7353 7.358 P 0.005 103.153 5.0106 P 5.4091 80.8844 7.8057 P 3.7927 116.3172 9.3986 P 4.0761 89.9256 7.1223 P 0.005 99.1205 5.2911 P 2.2482 101.021 1.6945 P 4.4896 101.1399 3.2928 P 11.5835 100.5963 21.4358 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.957 P 11.9419 121.0201 7.5766 P 21.1589 60.4423 7.5199 P 15.5942 147.8141 3.6187 P 16.5372 68.727 6.3745 P 12.0505 65.5247 7.2975 P 10.7468 131.4766 6.7554 P 12.2034 76.0873 7.3581 P 0.1004 104.4289 6.2705 P 6.2684 78.8906 7.7999 P 4.7675 118.8129 9.3958 P 4.4006 87.9997 7.1132 P 0.0028 97.7516 6.9278 P 2.0267 101.0152 7.9431 P 5.1767 101.3906 5.9753 P 5.0706 100.8857 6.5726 P 18.2067 100.3019 22.3157 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9582 P 13.2146 122.6912 7.5766 P 22.2656 58.6783 7.5199 P 16.4242 147.918 3.5783 P 17.2397 67.1608 6.3769 P 12.8318 63.6713 7.295 P 11.3089 133.2267 6.7554 P 13.387 74.4372 7.3582 P 0.4049 106.0845 7.0132 P 7.13 76.897 7.7998 P 5.7694 121.3002 9.3858 P 4.7661 86.0817 7.1041 P 0.005 97.6521 3.4422 P 0.005 101.0643 2.181 P 6.5132 102.2501 5.7732 P 3.3062 100.6524 1.8272 P 11.4134 100.6039 16.8121 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0456 P 14.6034 124.5146 7.5766 P 23.4732 56.7534 7.4871 P 17.3203 147.8515 3.6252 P 18.0066 65.4508 6.379 P 13.6841 61.6497 7.2929 P 11.9223 135.1366 6.7554 P 14.6786 72.6365 7.3582 P 1.1423 108.0463 7.2265 P 8.0702 74.7215 7.7998 P 6.8688 124.0082 9.3858 P 5.1964 83.9982 7.0936 P 0.3683 96.8824 5.0059 P 0.005 101.0743 2.5264 P 6.1957 103.8832 6.0609 P 3.0639 100.4961 6.7918 P 5.9106 100.3045 5.3605 P 18.2067 100.3019 20.5105 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0232 P 15.9624 126.299 7.5766 P 24.6548 54.8829 6.1804 P 18.1882 147.6315 3.7344 P 18.7572 63.7769 6.3808 P 14.518 59.672 7.2911 P 12.5226 137.0054 6.7554 P 15.9425 70.8745 7.3582 P 2.0618 109.9605 7.4755 P 8.9902 72.5927 7.7998 P 7.9447 126.6582 9.3858 P 5.6345 81.9666 7.0841 P 0.9785 95.6599 6.3918 P 0.005 101.0797 2.5901 P 5.9984 105.5979 5.8619 P 1.0887 100.5174 1.7051 P 4.5079 99.8102 2.9558 P 11.5591 100.5974 20.5105 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
1.0007 P 17.2916 128.0442 7.5766 P 25.8056 53.5938 4.9209 P 19.0287 147.2772 3.872 P 19.4915 62.1391 6.3823 P 15.3334 57.7384 7.2896 P 13.1097 138.8333 6.7554 P 17.1787 69.1511 7.3582 P 3.0481 111.8822 7.6702 P 9.89 70.5106 7.7998 P 8.9969 129.25 9.3858 P 6.0716 79.9848 7.0768 P 1.8966 94.1134 6.7922 P 0.005 101.1257 4.9053 P 5.8995 107.2167 5.7006 P 0.8637 100.449 4.0709 P 4.1758 99.2487 4.5293 P 5.0574 100.8863 6.853 P 18.2067 100.3019 21.3855 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9824 P 18.5965 129.7574 7.5766 P 26.9273 52.9689 4.464 P 19.8464 146.8126 4.0046 P 20.2124 60.5307 6.3789 P 16.1338 55.8407 6.5209 P 13.686 140.6277 6.7554 P 18.3922 67.4592 7.3582 P 4.0697 113.8128 7.7039 P 10.7734 68.4666 7.7998 P 10.0298 131.7944 9.3858 P 6.5039 78.0424 7.0733 P 2.9366 92.5272 6.9711 P 0.005 101.1292 3.5249 P 5.8569 108.7553 5.6901 P 0.0418 99.8695 5.6581 P 4.4674 98.1303 5.9417 P 3.2901 101.6279 4.7012 P 11.5378 100.5983 21.3855 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9786 P 19.8964 131.4641 7.5766 P 28.0352 52.7464 4.368 P 20.6544 146.2578 4.1083 P 20.9331 58.9309 6.318 P 16.9269 54.2237 4.8572 P 14.2601 142.4152 6.7554 P 19.6011 65.7738 7.3582 P 5.1322 115.7243 7.702 P 11.6534 66.4304 7.7998 P 11.0589 134.329 9.3858 P 6.9349 76.1086 7.0733 P 4.0656 90.9399 7.0446 P 0.005 101.2786 4.4988 P 5.8294 110.2851 5.6828 P 0.0394 98.35 7.9748 P 5.2148 96.702 6.3393 P 3.218 102.8332 7.3984 P 4.8943 100.8936 8.0664 P 18.2067 100.3019 21.8452 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9719 P 21.1874 133.1592 7.5766 P 29.1256 52.7064 4.3451 P 21.4514 145.6423 4.1776 P 21.6797 57.3781 6.1965 P 17.6793 53.2259 3.585 P 14.8304 144.1905 6.7535 P 20.8017 64.0999 7.3559 P 6.2006 117.6145 7.6914 P 12.5274 64.4081 7.7998 P 12.0808 136.8463 9.3858 P 7.3629 74.1881 7.0733 P 5.2327 89.3674 7.0624 P 0.005 101.2815 1.8887 P 5.8146 111.8021 5.6749 P 0.1375 96.0924 8.6995 P 6.0174 95.1696 6.4042 P 3.1733 104.9057 8.0472 P 2.6083 100.7686 2.0831 P 11.4599 100.6018 21.8452 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9974 P 22.5122 134.8986 7.5766 P 30.2344 52.7922 4.3615 P 22.2659 144.9694 4.2097 P 22.5337 55.8764 5.6857 P 18.3575 52.698 2.8665 P 15.4145 146.0119 4.5497 P 22.0336 62.3831 7.3009 P 7.2958 119.5509 7.6889 P 13.4243 62.333 7.7998 P 13.1296 139.4295 9.3858 P 7.8021 72.2173 7.0733 P 6.4435 87.7561 7.0578 P 0.005 101.2863 4.797 P 5.81 113.3563 5.7382 P 0.6846 93.5918 8.8108 P 6.8721 93.5893 6.408 P 3.3636 107.2408 7.9543 P 2.4502 100.4451 6.692 P 4.6666 100.9037 4.5299 P 18.2067 100.3019 21.4537 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9663 P 23.7957 136.5838 7.5766 P 31.2991 52.989 4.409 P 23.0518 144.2977 4.2199 P 23.4557 54.6814 4.9694 P 18.9142 52.4709 2.715 P 15.977 147.0074 4.3301 P 23.2254 60.7403 7.0604 P 8.3559 121.4265 7.6889 P 14.2932 60.3225 7.7998 P 14.1456 141.9322 8.001 P 8.2276 70.308 7.0733 P 7.6158 86.1963 7.0563 P 0.005 101.2874 2.4685 P 5.8228 114.8824 6.0368 P 1.4744 91.2031 8.9401 P 7.7006 92.057 6.4155 P 3.6155 109.4666 7.615 P 0.83 99.5869 5.5715 P 3.6976 101.4985 3.2983 P 11.6251 100.5944 21.4537 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9739 P 25.0893 138.2822 6.8099 P 32.3631 53.2933 4.4694 P 23.8421 143.6135 3.2839 P 24.3844 53.7881 4.5335 P 19.4699 52.437 2.729 P 16.6916 147.8186 5.013 P 24.4225 59.179 6.5161 P 9.4244 123.317 7.6889 P 15.1689 58.2961 7.7998 P 15.0172 144.0312 5.8084 P 8.6565 68.3836 7.0733 P 8.7967 84.6243 7.0549 P 0.0435 101.7626 5.041 P 5.883 116.5165 6.3847 P 2.4677 88.8245 9.0324 P 8.5398 90.5121 6.4221 P 3.9024 111.5948 7.2325 P 0.7126 98.1075 7.7451 P 3.6839 102.2445 6.9773 P 4.9915 100.8893 7.71 P 18.2067 100.3019 21.9462 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9811 P 26.489 139.5672 6.5901 P 33.4267 53.6885 4.5272 P 24.5408 143.3497 2.6257 P 25.3117 53.0985 4.2868 P 20.0257 52.5409 3.4213 P 17.6921 148.668 4.4935 P 25.6292 57.838 5.8718 P 10.5008 125.2214 7.6889 P 16.0512 56.2548 6.3661 P 15.6072 145.4889 3.7141 P 9.0886 66.4449 7.0733 P 9.9855 83.0407 7.0536 P 0.005 101.8078 1.6679 P 5.9961 118.2739 6.6235 P 3.5937 86.4511 9.0743 P 9.3899 88.9559 6.426 P 4.2055 113.6105 6.9674 P 0.5704 95.9061 8.0918 P 3.2449 104.1494 7.5675 P 2.8842 100.2771 4.1145 P 11.4134 100.6039 21.7923 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9755 P 28.0547 140.4906 6.5667 P 34.4768 54.1496 4.5733 P 25.0614 143.4414 2.6435 P 26.2127 52.5237 3.9968 P 20.813 52.5459 3.7421 P 18.7951 148.9394 4.4278 P 26.8491 56.8274 5.4517 P 11.5709 127.1148 7.6889 P 16.6806 54.6275 4.4584 P 16.0704 146.2401 2.7303 P 9.5181 64.5174 7.0733 P 11.1669 81.4662 7.0524 P 0.072 102.0144 3.8986 P 6.1435 120.0965 6.7426 P 4.7802 84.1091 9.0778 P 10.236 87.4078 6.4294 P 4.5239 115.5245 6.8283 P 0.7627 93.6082 8.1983 P 3.1933 106.2842 7.7418 P 2.3848 99.3961 8.5974 P 4.6594 100.904 7.7059 P 18.2067 100.3019 21.9132 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.997 P 29.6487 141.4296 6.5467 P 35.5439 54.6708 4.6016 P 25.5994 143.536 2.6571 P 27.1057 52.0827 3.6956 P 21.7192 52.6425 3.7508 P 19.9341 148.9166 4.5731 P 28.1395 56.1036 5.2446 P 12.6647 129.0501 7.6889 P 17.1874 53.5958 3.1024 P 16.5148 146.605 2.3192 P 9.9572 62.5473 7.0733 P 12.3738 79.8571 7.0675 P 0.005 102.0822 2.0973 P 6.3123 121.9975 6.7885 P 6.0177 81.7267 9.0544 P 11.1018 85.8246 6.4318 P 4.8715 117.4301 6.766 P 1.2212 91.2603 8.327 P 3.2599 108.5239 7.7145 P 0.9822 97.2964 7.7991 P 2.6758 101.9201 4.0862 P 11.4134 100.6039 21.4605 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9429 P 31.1513 142.3136 6.5326 P 36.5482 55.193 4.617 P 26.1127 143.6241 2.6643 P 27.9234 51.8613 3.5566 P 22.5525 52.8729 3.7954 P 21.0182 148.6236 4.8361 P 29.4033 55.6764 5.1967 P 13.6991 130.8803 7.6889 P 17.6516 53.1255 2.5485 P 16.9113 146.7265 2.2193 P 10.3724 60.6843 7.0733 P 13.5205 78.3333 7.0865 P 0.005 102.0868 3.8987 P 6.4791 123.8091 6.7987 P 7.1843 79.4801 9.0373 P 11.9212 84.3269 6.4327 P 5.2189 119.2087 6.7427 P 1.8637 89.0489 8.4246 P 3.4092 110.6289 7.6884 P 0.8478 95.1638 7.709 P 2.6351 102.8892 7.1345 P 4.9892 100.8894 9.4114 P 18.2067 100.3019 22.6359 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9527 P 32.666 143.204 6.526 P 37.5594 55.7379 4.6209 P 26.6344 143.7088 2.8138 P 28.7339 51.8123 3.5436 P 23.3658 53.2288 3.8523 P 22.1108 148.0848 4.8668 P 30.7086 55.4075 5.2111 P 14.7444 132.7296 7.6889 P 18.1133 52.9565 2.4476 P 17.2984 146.7365 2.2322 P 10.792 58.8017 7.0733 P 14.6866 76.7917 7.0949 P 0.005 102.088 1.7942 P 6.6504 125.6427 6.7963 P 8.3552 77.2121 9.0294 P 12.7497 82.8135 6.4334 P 5.5853 120.9953 6.7344 P 2.6859 86.839 8.5016 P 3.6444 112.7399 7.6711 P 0.9781 93.0371 7.7167 P 2.1564 104.7776 7.736 P 2.4507 100.0576 5.121 P 11.4134 100.6039 22.4122 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9811 P 34.2241 144.1195 6.3259 P 38.5982 56.3062 4.6388 P 27.2269 143.7366 3.2319 P 29.5507 51.9694 3.6922 P 24.1759 53.6911 3.9109 P 23.1719 147.3969 4.51 P 32.0767 55.2494 5.2138 P 15.8207 134.634 7.6889 P 18.586 52.9309 2.4595 P 17.6916 146.6484 2.3147 P 11.224 56.8632 7.0733 P 15.8906 75.2033 7.0963 P 0.2637 102.1115 3.8416 P 6.8277 127.5299 6.7958 P 9.5573 74.8775 9.0274 P 13.6031 81.2551 6.4338 P 5.9718 122.8303 6.7272 P 3.6523 84.5842 8.5395 P 3.9602 114.8986 7.6577 P 1.3677 90.8754 7.7852 P 2.1376 106.9804 7.8928 P 1.746 98.9089 8.3097 P 4.6201 100.9058 7.613 P 18.2067 100.3019 21.7934 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9568 P 35.7404 144.8848 6.0495 P 39.6168 56.8624 4.6666 P 27.9325 143.6429 3.6504 P 30.3351 52.3186 3.907 P 24.9451 54.2108 3.9608 P 24.0667 146.7244 4.1796 P 33.418 55.1663 5.2137 P 16.8703 136.4911 7.6889 P 19.0439 53.0147 2.5439 P 18.0739 146.4762 2.4286 P 11.6454 54.9727 5.4595 P 17.0645 73.6535 7.0975 P 0.005 102.333 2.7988 P 7.0016 129.3701 6.7953 P 10.7296 72.6016 9.0257 P 14.4357 79.7352 6.434 P 6.3521 124.6168 6.7226 P 4.6591 82.4006 8.5486 P 4.3241 116.9904 7.6469 P 1.9548 88.7927 7.8789 P 2.2999 109.1727 7.8743 P 0.699 96.826 7.8092 P 2.6111 101.5474 2.6298 P 11.5818 100.5964 21.7934 P 25 100 136.1333 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
0.9679 P 37.2687 145.4491 5.8371 P 40.6563 57.4268 4.6871 P 28.7654 143.4495 3.8671 P 31.1148 52.8398 4.1057 P 25.7078 54.7859 3.9939 P 24.8442 146.0552 4.0511 P 34.777 55.1313 5.1998 P 17.9321 138.3698 7.6889 P 19.5037 53.206 2.6682 P 18.4587 146.2226 2.5451 P 12.0699 53.598 3.4859 P 18.252 72.0851 7.0984 P 0.005 102.3405 5.2225 P 7.1784 131.2314 6.7949 P 11.9154 70.2999 9.0247 P 15.2781 78.1977 6.434 P 6.7369 126.4225 6.722 P 5.7069 80.2022 8.542 P 4.7359 119.095 7.6358 P 2.717 86.7084 7.9563 P 2.6131 111.3683 7.8783 P 0.6287 94.6304 7.7442 P 2.4402 102.0447 6.091 P 4.8801 100.8942 7.1131 P 18.2067 100.3019 22.0773 F1 ( X-Vel 0, Y-Vel 0) B1 ( X-Vel 0, Y-Vel 0) 
